country_code,country_name,cluster,label,mean,std,growth,trend,mean_p1,mean_p2,mean_p3
CHE,Switzerland,0,Emisi Rendah,39897.216139510085,5893.797270652539,17856.893068115198,201.37075855966935,35283.873999999996,41877.2748,42530.49961853028
CHL,Chile,0,Emisi Rendah,40865.15399804687,23001.03511750033,77879.109746582,1231.322252499189,21538.30785,31945.653899999998,69111.50024414062
CIV,Cote d'Ivoire,0,Emisi Rendah,5032.1777715713515,2737.7963607864217,10367.9579237061,128.96938255207473,2398.9514000000004,5211.58195,7485.999964714053
CMR,Cameroon,0,Emisi Rendah,4214.352388919067,2894.567665755384,9158.64230517578,148.5900755238475,775.5705,4981.486599999999,6886.000066757202
COD,"Congo, Dem. Rep.",0,Emisi Rendah,2839.983780869675,782.9896272104248,888.7890381469701,-2.665825730901305,2900.5969999999998,2957.85435,2661.4999926090236
COG,"Congo, Rep.",0,Emisi Rendah,2518.906326998139,1995.941175489051,7036.31322888184,109.3060985260413,565.8181000000001,2118.90085,4872.000030994415
COM,Comoros,0,Emisi Rendah,85.91808365122473,73.36622415882366,308.99899284744305,3.8068283879045572,22.735400000000002,63.01885,172.0000009536742
COL,Colombia,0,Emisi Rendah,49571.56450390625,17508.246562819197,64630.1759155273,981.341847321861,29131.931450000004,52656.76255,66925.99951171876
CPV,Cabo Verde,0,Emisi Rendah,208.00283257834116,200.59050224672313,627.997976158142,10.259073502593004,59.03869999999999,98.9698,465.9999977350236
CRI,Costa Rica,0,Emisi Rendah,3949.669358719381,2520.902666749863,7748.621771118161,142.25379062448025,1433.24695,3372.26115,7043.49997615814
CZE,Czechia,0,Emisi Rendah,117162.33337402345,12717.33047613363,-53909.9990844727,-1343.9932807014266,128451.0,120431.9992675781,102604.00085449222
CUB,Cuba,0,Emisi Rendah,25514.67869350586,6204.087131687787,12210.087847412098,181.3668966596829,19835.353050000005,29562.183,27146.500030517578
CYM,Cayman Islands,0,Emisi Rendah,265.761,204.23935665129122,535.3820000000001,12.176350985221676,36.669999999999995,247.23300000000003,513.38
CYP,Cyprus,0,Emisi Rendah,4637.328163487752,2511.037150961383,6302.58605722046,138.67784007289558,1752.4593,4681.0252,7478.499990463257
DJI,Djibouti,0,Emisi Rendah,306.8486162096977,135.45811620095563,379.662986886978,7.114537629534939,143.01299999999998,337.03284999999994,440.499998629093
DEU,Germany,0,Emisi Rendah,812234.0017903647,69911.80917374698,-297909.97558593703,-7799.5901565976,889413.0,809428.995605469,737860.0097656252
DMA,Dominica,0,Emisi Rendah,91.0624508294979,83.5838526785269,158.999001788139,3.9256793385224884,21.451949999999997,65.7354,186.00000248849364
DNK,Denmark,0,Emisi Rendah,51554.97418419597,10026.334595954895,-79.7062370604981,-122.20809852511665,51681.78125,57800.641149999996,45182.50015258789
FIN,Finland,0,Emisi Rendah,48117.12733723959,13063.193247285442,25605.6260844727,478.325331231617,35941.7338,53525.6487,54883.999511718765
DOM,Dominican Republic,0,Emisi Rendah,11578.355189691161,7781.69351288814,26188.5715422363,438.82003440487836,3517.3864000000003,9980.17915,21237.50001907348
DZA,Algeria,0,Emisi Rendah,70318.04907034505,45432.42693821535,165089.44,2521.4399639055828,21316.821050000002,69716.32609999999,119921.00006103513
ECU,Ecuador,0,Emisi Rendah,18982.92649377848,12595.503313078641,37526.1739155273,709.2843435447969,4646.272350000001,18865.5072,33436.99993133544
ERI,Eritrea,0,Emisi Rendah,651.4285715562957,119.66364784866846,439.99999523162796,0.3284073309880091,688.8888888888889,588.8888882266151,674.0000009536743
ESP,Spain,0,Emisi Rendah,210112.71573574218,80024.40465829692,191051.214727539,4018.733483576222,120722.40709999998,220702.74145,288912.99865722656
EST,Estonia,0,Emisi Rendah,17982.333258310955,4693.450528399783,-25099.9996948242,-281.43938547883323,20856.0,16584.999923706047,16505.9998512268
ETH,Ethiopia,0,Emisi Rendah,4091.344007311505,4321.625653315107,18007.9686103516,203.44425775393006,1145.9374999999998,2303.0945,8825.000021934515
FSM,"Micronesia, Fed. Sts.",0,Emisi Rendah,138.21428573557287,21.053262198833437,70.000007152557,1.7214013297634665,120.0,144.4444426231911,149.0000016987321
FJI,Fiji,0,Emisi Rendah,803.35254721845,372.7914629611317,1435.6489952316301,19.041623552959525,474.5098,703.04785,1232.4999916553497
FRA,France,0,Emisi Rendah,382678.4564229818,61469.44507060329,29301.33501367201,-1366.2023844041944,413284.4679,389313.4032,345437.4981689454
FRO,Faroe Islands,0,Emisi Rendah,473.9436666666666,202.5508002705055,572.052,11.120793103448273,219.24799999999996,543.874,658.709
GBR,United Kingdom,0,Emisi Rendah,546437.4459445964,73920.0929293431,-235379.766572266,-3686.8914756468803,617282.0614499999,551426.27675,470603.9996337892
GAB,Gabon,0,Emisi Rendah,4646.5426534968055,2068.2283270288185,5117.988,78.99491207487972,2789.8536,5407.77435,5742.0000104904175
GEO,Georgia,0,Emisi Rendah,8719.333289782204,6731.409421379136,-23380.000343322798,-316.11124199728306,13517.0,4280.9999742507935,8359.999895095822
GHA,Ghana,0,Emisi Rendah,5764.600434287004,4959.168524920322,18576.8679155273,247.0635270124955,2114.20885,3560.09245,11619.500002861017
KNA,St. Kitts and Nevis,0,Emisi Rendah,131.29056642824807,119.2800814239572,238.999,5.682792310004463,26.769099999999998,102.60260000000001,264.49999928474426
GIB,Gibraltar,0,Emisi Rendah,209.212,174.56982471397131,586.7199999999999,9.670203201970445,66.199,133.74900000000002,427.68799999999993
GIN,Guinea,0,Emisi Rendah,1389.5104129314423,785.2544268486103,3539.2960476837197,40.036254686343206,764.2028,1083.32845,2320.9999887943272
GMB,"Gambia, The",0,Emisi Rendah,226.53769982118607,164.21063517738793,561.664983310699,9.169257249804863,59.77210000000001,193.34099999999998,426.4999994635582
GNB,Guinea-Bissau,0,Emisi Rendah,162.0937002980232,77.79296141664885,311.66501311302204,4.249602860585782,72.05655,176.72455,237.50000089406961
GNQ,Equatorial Guinea,0,Emisi Rendah,2644.596963941956,3553.160316842185,5327.99790463257,168.93256001009044,43.08725,648.7037,7241.999941825867
GRC,Greece,0,Emisi Rendah,60957.12001580402,28214.238499572923,50594.145000000004,1375.2461148493394,27153.58495,70179.27524999999,85538.49984741208
GRD,Grenada,0,Emisi Rendah,154.5799662891706,137.3665574031728,307.998013113022,6.56190428671253,37.58675000000001,120.15315000000001,305.9999988675118
GRL,Greenland,0,Emisi Rendah,454.7080000000001,126.86321279498902,286.026,3.177131773399015,415.14300000000003,416.68700000000007,532.2940000000001
GTM,Guatemala,0,Emisi Rendah,6792.301132970176,4894.178726419838,17964.2104659424,263.5046112794107,2524.17945,4860.22405,12992.499898910524
GUY,Guyana,0,Emisi Rendah,1547.6505307902019,451.06324181202723,2189.9399046325702,17.595019170025,1334.0546000000002,1410.8970000000002,1897.9999923706055
